"new_survey_id","latitude","longitude","survey_date","bodysize_cwm_total","PLD_cwm_total","total_biomass","sp_richness","shannon","simpson","inv_simpson","sst_raw_mean","sst_raw_var","sst_raw_cv","sst_predicted_var","sst_unpredicted_var","sst_unbounded_seasonality","sst_bounded_seasonality","sst_env_col","sst_colwell_c","sst_colwell_m","sst_colwell_p","chla_raw_mean","chla_raw_var","chla_raw_cv","chla_predicted_var","chla_unpredicted_var","chla_unbounded_seasonality","chla_bounded_seasonality","chla_env_col","chla_colwell_c","chla_colwell_m","chla_colwell_p"
"S1",-20.16,149.04,2021-01-03,12.75,25.4,3100.4,61,3.14,0.9,10.46,298.678146728716,5.7737373366247,0.00804498175402959,5.06611972452583,0.342991228639017,14.7704060673158,0.936590091863741,1.99288785622894,0.03372346504459,0.612522557899439,0.646246022944029,7.07369075280591e+36,2.04876161592981e+73,0.6398816338204,7.82890656404229e+71,1.95349609388879e+73,0.0400763870915013,0.0385321574346785,0.197667059231743,0.0863986614979935,0.231726706174889,0.318125367672883
"S2",-20.07,148.93,2021-01-04,10.69,27.18,13244.6,87,3.15,0.89,8.7,298.791034765946,5.67702433970009,0.00797430451011358,4.9534567250691,0.360799685778533,13.7291048754118,0.932107211642619,1.97511362425868,0.0328384629472138,0.564125135500342,0.596963598447556,9.00585628250753e+36,8.67820076562933e+72,0.327106997305595,6.77257868545033e+70,8.49449747749534e+72,0.00797290093191866,0.00790983658841159,0.108230930504543,0.0878437620692206,0.238366051182618,0.326209813251839
"S3",-20.05,148.88,2021-01-04,16.27,25.74,11384.1,68,3.64,0.96,22.5,298.839920613195,5.61099416127542,0.00792649693493993,4.88784984802845,0.365229264492781,13.382963314335,0.930473298294286,1.94346413713763,0.0415233116530846,0.56519607647112,0.606719388124204,6.7352888803723e+36,2.17873571938743e+73,0.693020448378544,8.35528564102573e+71,2.06034280841584e+73,0.0405528905524704,0.0389724452458532,0.233679094219494,0.0946111510952354,0.226188461544147,0.320799612639382
"S4",-20.11,148.94,2021-01-05,21.33,23.46,14309.3,71,3.63,0.96,22.72,298.722014782371,5.8795404630892,0.00811716664269813,5.15378749430628,0.350870315355346,14.6885822731591,0.936259377514892,2.02504707208874,0.0320742414399945,0.594628109869083,0.626702351309077,9.76453144812483e+36,1.99913741562077e+72,0.144800451241603,1.50571935143675e+70,1.98235747065101e+72,0.00759559955118625,0.00753834132916972,0.0196231879879856,0.557519176461846,0.0870399180363523,0.644559094498198
"S5",-20.09,148.95,2021-01-05,18.29,23.27,66393.1,75,3.37,0.94,18.08,298.791037503422,5.67703865494579,0.0079743144910939,4.9529163104538,0.360381441576906,13.7435387593255,0.932173678495776,1.97505852164318,0.0328384629472138,0.564125135500342,0.596963598447556,9.76453144812483e+36,1.99913741562077e+72,0.144800451241603,1.50571935143675e+70,1.98235747065101e+72,0.00759559955118625,0.00753834132916972,0.0196231879879856,0.557519176461846,0.0870399180363523,0.644559094498198
"S6",-43.14,147.97,2021-01-08,20.81,30.3,1802.1,11,0.85,0.44,1.78,287.606282507528,4.22487429256633,0.00714674895958672,3.46637129262773,0.475427328884052,7.29106444251781,0.879388224885595,1.75299642535968,0.0636183223398321,0.519705463345564,0.583323785685396,8.90761057760745e+36,9.45890359628852e+72,0.345270264352991,3.98589874585883e+70,9.26979394868076e+72,0.00429987847402593,0.00428146867901581,0.0397569284404899,0.089694430236933,0.217703944803698,0.307398375040631
"S7",-43.13,147.96,2021-01-08,60.69,36.95,4445.6,11,1.28,0.62,2.62,287.606282507528,4.22487429256633,0.00714674895958672,3.46637129262773,0.475427328884052,7.29106444251781,0.879388224885595,1.75299642535968,0.0636183223398321,0.519705463345564,0.583323785685396,9.42340052833288e+36,5.14478963751705e+72,0.240700038827884,1.91508417093048e+70,4.99826412487959e+72,0.00383149854245971,0.00381687419454656,0.039976680798042,0.27789085323671,0.150065217067647,0.427956070304357
"S8",-43.14,147.87,2021-01-09,16.91,32.63,2464,14,0.64,0.21,1.27,287.496810840405,4.73539226349691,0.00756911229838777,3.95293421019188,0.469290308696861,8.42321722169909,0.893879131036343,1.81012044014079,0.0346583250938807,0.526002091576451,0.560660416670331,9.92281619490829e+36,4.60483256695923e+71,0.0683867516062976,2.35929930791411e+69,4.52292397071442e+71,0.00521631432053775,0.00518924558448262,0.197020506941037,0.860498336189717,0.0390481189128132,0.899546455102531
"S9",-43,147.33,2021-01-09,62.64,34.55,2875.6,11,1.66,0.66,2.95,287.033388995346,7.45491425088653,0.00951237378708095,6.57377611119072,0.400180505785665,16.4270273442845,0.942617867049599,2.1622727204376,0.0192807490618878,0.651548909228131,0.670829658290019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S10",-42.95,147.36,2021-01-09,57.81,28.72,6609.1,10,1.51,0.67,2.99,287.038806460443,7.60633707452561,0.00960831357335866,6.68661122980166,0.427220403522867,15.6514323161154,0.939945106161697,2.05378449580856,0.0173810154795052,0.646196788848558,0.663577804328063,9.83548667944155e+36,1.31559407881112e+72,0.1166178688379,4.57988446921414e+69,1.26769186266345e+72,0.00361277421122804,0.00359976905840745,0.0980203051818382,0.779869187931477,0.0748992054651187,0.854768393396596
